OBJECTID,date_arrested,time_arrested,address,offense_type,subject_race,subject_gender,agency,armainid,objectid_1,Year
30256,2020/04/22,2000,400-BLK HAYWOOD RD,SOLICIT ALMS/BEG FOR MONEY,B,M,APD,571148,30235,2020
30257,2020/04/22,2000,400-BLK HAYWOOD RD,PUBLIC PEACE - FREE TEXT,B,M,APD,571148,30236,2020
30326,2020/02/23,132,100-BLK PARK LANE AVE,SELL METHAMPHETAMINE,W,F,APD,568414,30305,2020
30327,2020/02/23,132,100-BLK PARK LANE AVE,MAINTN VEH/DWELL/PLACE CS (F),W,F,APD,568414,30306,2020
30328,2020/02/23,132,100-BLK PARK LANE AVE,MAINTN VEH/DWELL/PLACE CS (F),W,F,APD,568414,30307,2020
30329,2020/02/23,132,100-BLK PARK LANE AVE,SELL METHAMPHETAMINE,W,F,APD,568414,30308,2020
30333,2021/07/12,1856,100-BLK CROWELL RD,PWIMSD SCH VI CS,W,F,APD,594437,30312,2021
30336,2021/03/08,1551,100-BLK OTEEN CHURCH RD,ASSAULT INFLICT SERIOUS INJ(M),W,M,APD,583992,30315,2021
30498,2020/01/31,1145,1300-BLK TUNNEL RD,SECOND DEGREE TRESPASS,W,M,APD,567489,30478,2020
30499,2020/01/23,1347,100-BLK ATKINSON ST,ASSAULT ON A FEMALE,B,M,APD,567107,30479,2020
30500,2020/01/23,1347,100-BLK ATKINSON ST,COMMUNICATING THREATS,B,M,APD,567107,30480,2020
30519,2020/06/06,100,100-BLK LE AN HURST RD,ASSAULT ON A FEMALE,W,M,APD,573189,30499,2020
30566,2020/07/18,1910,600-BLK BILTMORE AVE,DRIVING WHILE IMPAIRED,W,M,APD,574253,30546,2020
30581,2020/07/18,2030,100-BLK N MARKET ST,INJURY TO PERSONAL PROPERTY,W,M,APD,574254,30561,2020
30582,2020/07/18,2030,100-BLK N MARKET ST,SECOND DEGREE TRESPASS,W,M,APD,574254,30562,2020
30589,2021/01/20,1120,800-BLK BREVARD RD,POSSESS STOLEN MOTOR VEHICLE,W,M,APD,580817,30569,2021
30590,2021/01/20,1120,800-BLK BREVARD RD,MISDEMEANOR LARCENY,W,M,APD,580817,30570,2021
30599,2021/01/01,1419,100-BLK TUNNEL RD,DRIVING WHILE IMPAIRED,W,M,APD,580367,30579,2021
30600,2021/01/01,1419,100-BLK TUNNEL RD,DWLR NOT IMPAIRED REV,W,M,APD,580367,30580,2021
30676,2020/11/15,2104,500-BLK BILTMORE AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,579384,30656,2020
30677,2020/11/15,2104,500-BLK BILTMORE AVE,SECOND DEGREE TRESPASS,W,M,APD,579384,30657,2020
30678,2020/11/15,2104,500-BLK BILTMORE AVE,COMMUNICATING THREATS,W,M,APD,579384,30658,2020
30728,2020/05/12,1600,100-BLK DAVIDSON DR,HOUSING ONLY/FEDERAL INMATE,W,M,APD,572575,30707,2020
30742,2020/09/02,2013,200-BLK LANDIS CT,SIMPLE POSSESS SCH II CS (M),W,F,APD,576453,30721,2020
30743,2020/09/02,2013,200-BLK LANDIS CT,PWIMSD SCH II CS,W,F,APD,576453,30722,2020
30744,2020/09/02,2013,200-BLK LANDIS CT,POSSESS DRUG PARAPHERNALIA,W,F,APD,576453,30723,2020
30786,2021/02/19,131,600-BLK SWANNANOA RIVER RD,BURNING PERSONAL PROPERTY,B,M,APD,583557,30764,2021
30835,2021/10/27,932,100-BLK SWEETEN CREEK RD,DRIVING WHILE IMPAIRED,W,F,APD,597402,30813,2021
30858,2021/05/13,2100,1600-BLK HENDERSONVILLE RD,OTHER - FREE TEXT,W,F,APD,588763,30836,2021
30859,2021/05/13,2100,1600-BLK HENDERSONVILLE RD,SHOPLIFTING CONCEALMENT GOODS,W,F,APD,588763,30837,2021
30860,2021/05/13,2100,1600-BLK HENDERSONVILLE RD,SECOND DEGREE TRESPASS,W,F,APD,588763,30838,2021
30888,2021/11/06,2117,100-BLK RIVER FORD PKWY,DRIVING WHILE IMPAIRED,W,M,APD,597694,30868,2021
30889,2021/11/06,2117,100-BLK RIVER FORD PKWY,SIMPLE POSSESS SCH IV CS (M),W,M,APD,597694,30869,2021
30890,2021/11/06,2117,100-BLK RIVER FORD PKWY,POSSESS DRUG PARAPHERNALIA,W,M,APD,597694,30870,2021
30892,2020/05/15,1840,100-BLK BLEACHERY BLVD,MISDEMEANOR LARCENY,B,F,APD,572661,30872,2020
30893,2020/05/15,1840,100-BLK BLEACHERY BLVD,RESISTING PUBLIC OFFICER,B,F,APD,572661,30873,2020
30906,2020/01/18,47,100-BLK PATTON AVE,ASSAULT ON A FEMALE,B,M,APD,566911,30886,2020
30907,2020/01/18,47,100-BLK PATTON AVE,SIMPLE ASSAULT,B,M,APD,566911,30887,2020
30908,2020/01/18,47,100-BLK PATTON AVE,NON-SUPPORT,B,M,APD,566911,30888,2020
30989,2021/10/12,2347,100-BLK GASHES CREEK RD,SIMPLE POSSESS SCH IV CS (M),W,F,APD,596999,30968,2021
30990,2021/10/12,2347,100-BLK GASHES CREEK RD,POSSESS DRUG PARAPHERNALIA,W,F,APD,596999,30969,2021
30991,2021/10/12,2347,100-BLK GASHES CREEK RD,POSSESS METHAMPHETAMINE,W,F,APD,596999,30970,2021
30992,2021/10/12,2347,100-BLK GASHES CREEK RD,MISDEMEANOR LARCENY,W,F,APD,596999,30971,2021
31009,2020/02/28,1353,500-BLK TUNNEL RD,POSSESS DRUG PARAPHERNALIA,W,F,APD,568675,30988,2020
31010,2020/02/28,1353,500-BLK TUNNEL RD,POSSESS METHAMPHETAMINE,W,F,APD,568675,30989,2020
31102,2020/10/08,1606,100-BLK BEVERLY RD,POSSESS MARIJUANA UP TO 1/2 OZ,B,M,APD,578408,31082,2020
31103,2020/10/08,1606,100-BLK BEVERLY RD,"TRAFFICKING, OPIUM OR HEROIN",B,M,APD,578408,31083,2020
31104,2020/10/08,1606,100-BLK BEVERLY RD,POSSESSION OF FIREARM BY FELON,B,M,APD,578408,31084,2020
31105,2020/10/08,1606,100-BLK BEVERLY RD,PWIMSD SCH I CS,B,M,APD,578408,31085,2020
31106,2020/10/08,1606,100-BLK BEVERLY RD,"TRAFFICKING, OPIUM OR HEROIN",B,M,APD,578408,31086,2020
31140,2020/12/16,1540,100-BLK DAVIDSON DR,DV PROTECTIVE ORDER VIOL (M),B,M,APD,580101,31120,2020
31141,2020/12/16,1540,100-BLK DAVIDSON DR,MISDEMEANOR PROBATION VIOL,B,M,APD,580101,31121,2020
31142,2020/12/16,1540,100-BLK DAVIDSON DR,MISDEMEANOR PROBATION VIOL,B,M,APD,580101,31122,2020
31148,2021/03/02,1630,100-BLK GRANADA ST,SOLICIT PROSTITUTION 2ND/SUB,W,F,APD,583825,31128,2021
31169,2021/08/15,222,100-BLK S TUNNEL RD,FELONY POSSESSION SCH II CS,W,F,APD,595402,31149,2021
31170,2021/08/15,222,100-BLK S TUNNEL RD,POSSESS DRUG PARAPHERNALIA,W,F,APD,595402,31150,2021
31171,2021/08/15,222,100-BLK S TUNNEL RD,MISDEMEANOR LARCENY,W,F,APD,595402,31151,2021
31222,2021/08/28,1450,100-BLK MERRIMON AVE/I-240/BROADWAY ST,MISUSE OF 911 SYSTEM,W,F,APD,595798,31202,2021
31223,2020/02/14,2252,100-BLK N MARKET ST,SECOND DEGREE TRESPASS,W,F,APD,568088,31203,2020
31224,2020/02/14,2252,100-BLK N MARKET ST,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,F,APD,568088,31204,2020
31225,2020/02/14,2252,100-BLK N MARKET ST,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,F,APD,568088,31205,2020
31226,2020/02/14,2252,100-BLK N MARKET ST,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,F,APD,568088,31206,2020
31262,2021/12/15,2243,100-BLK FOREST HILL DR,SECOND DEGREE BURGLARY,W,M,APD,599733,31242,2021
31263,2021/12/15,2243,100-BLK FOREST HILL DR,INJURY TO PERSONAL PROPERTY,W,M,APD,599733,31243,2021
31264,2021/12/15,2243,100-BLK FOREST HILL DR,SIMPLE POSSESS SCH IV CS (M),W,M,APD,599733,31244,2021
31265,2021/12/15,2243,100-BLK FOREST HILL DR,UTTERING FORGED INSTRUMENT,W,M,APD,599733,31245,2021
31266,2021/12/15,2243,100-BLK FOREST HILL DR,MISDEMEANOR LARCENY,W,M,APD,599733,31246,2021
31267,2021/12/15,2243,100-BLK FOREST HILL DR,MISDEMEANOR LARCENY,W,M,APD,599733,31247,2021
31268,2021/12/15,2243,100-BLK FOREST HILL DR,OBTAIN PROPERTY FALSE PRETENSE,W,M,APD,599733,31248,2021
31269,2021/12/15,2243,100-BLK FOREST HILL DR,OBTAIN PROPERTY FALSE PRETENSE,W,M,APD,599733,31249,2021
31270,2021/12/15,2243,100-BLK FOREST HILL DR,MISDEMEANOR LARCENY,W,M,APD,599733,31250,2021
31271,2021/12/15,2243,100-BLK FOREST HILL DR,MISDEMEANOR LARCENY,W,M,APD,599733,31251,2021
31272,2021/12/15,2243,100-BLK FOREST HILL DR,OBTAIN PROPERTY FALSE PRETENSE,W,M,APD,599733,31252,2021
31273,2021/12/15,2243,100-BLK FOREST HILL DR,MISDEMEANOR LARCENY,W,M,APD,599733,31253,2021
31274,2021/12/15,2243,100-BLK FOREST HILL DR,SECOND DEGREE TRESPASS,W,M,APD,599733,31254,2021
31291,2021/08/15,222,100-BLK S TUNNEL RD,HIT/RUN FAIL STOP PROP DAMAGE,W,F,APD,595402,31270,2021
31292,2021/08/15,222,100-BLK S TUNNEL RD,SECOND DEGREE TRESPASS,W,F,APD,595402,31271,2021
31293,2021/08/15,222,100-BLK S TUNNEL RD,RECKLESS DRVG-WANTON DISREGARD,W,F,APD,595402,31272,2021
31294,2021/08/15,222,100-BLK S TUNNEL RD,MISDEMEANOR LARCENY,W,F,APD,595402,31273,2021
31298,2020/01/13,1613,300-BLK LONG SHOALS RD,DV PROTECTIVE ORDER VIOL (M),W,M,APD,565734,31277,2020
31314,2021/07/12,1309,100-BLK CORDOVA ST,FELONY POSSESSION SCH II CS,W,F,APD,594430,31293,2021
31315,2021/07/12,1309,100-BLK CORDOVA ST,SIMPLE POSSESS SCH IV CS (M),W,F,APD,594430,31294,2021
31316,2021/07/12,1309,100-BLK CORDOVA ST,POSSESS DRUG PARAPHERNALIA,W,F,APD,594430,31295,2021
31317,2021/07/12,1309,100-BLK CORDOVA ST,SIMPLE POSSESS SCH VI CS (M),W,F,APD,594430,31296,2021
31318,2021/07/12,1309,100-BLK CORDOVA ST,MAINTN VEH/DWELL/PLACE CS (M),W,F,APD,594430,31297,2021
31331,2020/11/23,1215,100-BLK MAYFAIR DR,OBTAIN PROPERTY FALSE PRETENSE,W,M,APD,579574,31310,2020
31359,2020/07/12,414,1000-BLK PATTON AVE,EXTRADITION/FUGITIVE OTH STATE,W,F,APD,574081,31338,2020
31385,2020/06/29,928,300-BLK ROCKWOOD RD,MISDEMEANOR LARCENY,W,M,APD,573744,31364,2020
31386,2020/06/29,928,300-BLK ROCKWOOD RD,SECOND DEGREE TRESPASS,W,M,APD,573744,31365,2020
31415,2020/08/03,945,100-BLK N ANN ST,SIMPLE ASSAULT,W,F,APD,574597,31394,2020
31416,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31395,2020
31417,2020/08/03,945,100-BLK N ANN ST,POSSESS DRUG PARAPHERNALIA,W,F,APD,574597,31396,2020
31418,2020/08/03,945,100-BLK N ANN ST,LITTERING NOT > 15 LBS,W,F,APD,574597,31397,2020
31419,2020/08/03,945,100-BLK N ANN ST,ASSAULT GOVT OFFICIAL/EMPLY,W,F,APD,574597,31398,2020
31420,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31399,2020
31421,2020/08/03,945,100-BLK N ANN ST,MISDEMEANOR LARCENY,W,F,APD,574597,31400,2020
31422,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31401,2020
31423,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31402,2020
31424,2020/08/03,945,100-BLK N ANN ST,DISORDERLY CONDUCT,W,F,APD,574597,31403,2020
31425,2020/08/03,945,100-BLK N ANN ST,MISDEMEANOR LARCENY,W,F,APD,574597,31404,2020
31426,2020/08/03,945,100-BLK N ANN ST,LOCAL ORDINANCE-FREE TEXT,W,F,APD,574597,31405,2020
31427,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31406,2020
31428,2020/08/03,945,100-BLK N ANN ST,BREAKING OR ENTERING (M),W,F,APD,574597,31407,2020
31429,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31408,2020
31430,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31409,2020
31431,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31410,2020
31432,2020/08/03,945,100-BLK N ANN ST,URINATE IN PUBLIC,W,F,APD,574597,31411,2020
31433,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31412,2020
31434,2020/08/03,945,100-BLK N ANN ST,SECOND DEGREE TRESPASS,W,F,APD,574597,31413,2020
31435,2020/08/03,945,100-BLK N ANN ST,DISORDERLY CONDUCT,W,F,APD,574597,31414,2020
31436,2020/08/03,945,100-BLK N ANN ST,DAMAGE PROPERTY - FREE TEXT,W,F,APD,574597,31415,2020
31483,2021/04/14,1403,100-BLK ATKINSON ST,POSSESSION OF FIREARM BY FELON,B,M,APD,586031,31462,2021
31484,2021/04/14,1403,100-BLK ATKINSON ST,RESISTING PUBLIC OFFICER,B,M,APD,586031,31463,2021
31485,2021/04/14,1403,100-BLK ATKINSON ST,CARRYING CONCEALED GUN(M),B,M,APD,586031,31464,2021
31486,2021/04/14,1403,100-BLK ATKINSON ST,HIT/RUN FAIL STOP PROP DAMAGE,B,M,APD,586031,31465,2021
31487,2021/04/14,1403,100-BLK ATKINSON ST,RECKLESS DRIVING TO ENDANGER,B,M,APD,586031,31466,2021
31509,2021/04/14,1403,100-BLK ATKINSON ST,ASSAULT BY POINTING A GUN,B,M,APD,586031,31488,2021
31510,2021/04/14,1403,100-BLK ATKINSON ST,ASSAULT ON A FEMALE,B,M,APD,586031,31489,2021
31511,2021/04/14,1403,100-BLK ATKINSON ST,PAROLE COMM.VIOLATION,B,M,APD,586031,31490,2021
31512,2021/04/14,1403,100-BLK ATKINSON ST,SECOND DEGREE TRESPASS,B,M,APD,586031,31491,2021
31513,2021/04/14,1403,100-BLK ATKINSON ST,ASSAULT GOVT OFFICIAL/EMPLY,B,M,APD,586031,31492,2021
31530,2020/01/18,21,100-BLK CORDOVA ST,AWDW INTENT TO KILL,B,M,APD,566910,31509,2020
31531,2020/01/18,21,100-BLK CORDOVA ST,ASSAULT WITH A DEADLY WEAPON,B,M,APD,566910,31510,2020
31532,2020/01/18,21,100-BLK CORDOVA ST,ASSAULT WITH A DEADLY WEAPON,B,M,APD,566910,31511,2020
31533,2020/01/18,21,100-BLK CORDOVA ST,POSSESSION OF FIREARM BY FELON,B,M,APD,566910,31512,2020
31534,2020/01/18,21,100-BLK CORDOVA ST,SECOND DEGREE TRESPASS,B,M,APD,566910,31513,2020
31535,2020/01/18,21,100-BLK CORDOVA ST,RESISTING PUBLIC OFFICER,B,M,APD,566910,31514,2020
31549,2021/08/18,2145,300-BLK BOWLING PARK RD,TRAFFICKING IN COCAINE,B,M,APD,595506,31528,2021
31550,2021/08/18,2145,300-BLK BOWLING PARK RD,PWISD COCAINE,B,M,APD,595506,31529,2021
31551,2021/08/18,2145,300-BLK BOWLING PARK RD,TRAFFICKING IN COCAINE,B,M,APD,595506,31530,2021
31552,2021/08/18,2145,300-BLK BOWLING PARK RD,PWIMSD SCH II CS,B,M,APD,595506,31531,2021
31559,2020/02/15,827,100-BLK CHARLOTTE ST,NO OPERATORS LICENSE,W,M,APD,568095,31538,2020
31560,2020/02/15,827,100-BLK CHARLOTTE ST,POSSESS DRUG PARAPHERNALIA,W,M,APD,568095,31539,2020
31594,2020/09/02,2001,300-BLK N LOUISIANA AVE,MISDEMEANOR PROBATION VIOL,W,M,APD,576454,31574,2020
31674,2021/11/03,131,400-BLK PALISADES CIR,SIMPLE ASSAULT,W,F,APD,597605,31653,2021
31678,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,SIMPLE POSSESS SCH III CS (M),W,F,APD,595742,31657,2021
31679,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,POSSESS METHAMPHETAMINE,W,F,APD,595742,31658,2021
31680,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,POSSESS METHAMPHETAMINE,W,F,APD,595742,31659,2021
31681,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,SIMPLE POSSESS SCH II CS (M),W,F,APD,595742,31660,2021
31682,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,POSSESS DRUG PARAPHERNALIA,W,F,APD,595742,31661,2021
31683,2021/08/26,2010,300-BLK SWANNANOA RIVER RD,SIMPLE POSSESS SCH IV CS (M),W,F,APD,595742,31662,2021
31688,2021/02/28,1306,100-BLK RIVER HILLS RD,LARCENY BY EMPLOYEE,B,M,APD,583787,31667,2021
31701,2020/12/02,1212,100-BLK COURT PLZ,AWDWIKISI,W,M,APD,579750,31680,2020
31702,2020/12/02,1212,100-BLK COURT PLZ,HOMICIDE - FREE TEXT,W,M,APD,579750,31681,2020
31745,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,DWLR NOT IMPAIRED REV,B,M,APD,572355,31724,2020
31746,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,HIT/RUN FAIL STOP PROP DAMAGE,B,M,APD,572355,31725,2020
31747,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,SELL/DELIVER SCH II CS,B,M,APD,572355,31726,2020
31748,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,PWIMSD SCH II CS,B,M,APD,572355,31727,2020
31749,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,POSS STOLEN GOODS/PROP (M),B,M,APD,572355,31728,2020
31750,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,EXPIRED REGISTRATION CARD/TAG,B,M,APD,572355,31729,2020
31751,2020/05/03,1230,100-BLK S FRENCH BROAD AVE,SECOND DEGREE TRESPASS,B,M,APD,572355,31730,2020
31786,2021/01/20,2129,100-BLK EMMA HILLS DR,SIMPLE ASSAULT,W,M,APD,580832,31766,2021
31787,2021/01/20,2129,100-BLK EMMA HILLS DR,FAIL TO WEAR SEAT BELT-DRIVER,W,M,APD,580832,31767,2021
31788,2021/01/20,2129,100-BLK EMMA HILLS DR,DWLR NOT IMPAIRED REV,W,M,APD,580832,31768,2021
31824,2020/01/24,2045,100-BLK BLEACHERY BLVD,MISDEMEANOR LARCENY,B,M,APD,567182,31804,2020
31843,2021/10/12,1940,100-BLK DAVIDSON DR,FIRST DEGREE BURGLARY,B,M,APD,596987,31823,2021
31844,2021/06/01,2030,100-BLK DAVIDSON DR,SIMPLE POSSESS SCH III CS (M),W,F,APD,593254,31824,2021
31850,2020/06/24,109,100-BLK HILLIARD AVE,POSSESS MARIJ PARAPHERNALIA,W,M,APD,573623,31830,2020
31851,2020/06/24,109,100-BLK HILLIARD AVE,SIMPLE ASSAULT,W,M,APD,573623,31831,2020
31852,2020/06/24,109,100-BLK HILLIARD AVE,SIMPLE POSSESS SCH VI CS (M),W,M,APD,573623,31832,2020
31853,2020/06/24,109,100-BLK HILLIARD AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,573623,31833,2020
31855,2021/03/23,1034,100-BLK CHERRY ST N,POSSESS METHAMPHETAMINE,W,M,APD,585425,31835,2021
31856,2021/03/23,1034,100-BLK CHERRY ST N,POSS STOLEN GOODS/PROP (M),W,M,APD,585425,31836,2021
31875,2020/08/23,1520,1100-BLK PATTON AVE,DV PROTECTIVE ORDER VIOL (M),B,M,APD,576149,31855,2020
31876,2020/02/28,2005,100-BLK N MARKET ST,SECOND DEGREE TRESPASS,B,M,APD,568686,31856,2020
31933,2020/01/28,1848,300-BLK STATE ST,PAROLE COMM.VIOLATION,W,M,APD,567341,31914,2020
31979,2021/05/08,14,100-BLK DAVIDSON DR,NON-SUPPORT,W,M,APD,588627,31960,2021
31980,2021/05/08,14,100-BLK DAVIDSON DR,NON-SUPPORT,W,M,APD,588627,31961,2021
31994,2021/11/25,2329,100-BLK RECTOR ST,SIMPLE ASSAULT,B,F,APD,599173,31975,2021
32011,2020/01/09,1801,100-BLK FAIRFAX AVE,POSS MARIJ >1/2 TO 1 1/2 OZ,W,M,APD,565605,31992,2020
32025,2020/05/01,959,200-BLK STATE ST,MISDEMEANOR LARCENY,B,M,APD,572310,32006,2020
32026,2020/05/01,959,200-BLK STATE ST,MISDEMEANOR LARCENY,B,M,APD,572310,32007,2020
32027,2020/03/15,102,700-BLK HAYWOOD RD,DWLR IMPAIRED REV,W,M,APD,569349,32008,2020
32028,2020/03/15,102,700-BLK HAYWOOD RD,CANCL/REVOK/SUSP CERTIF/TAG,W,M,APD,569349,32009,2020
32050,2021/07/25,2150,100-BLK SMOKEY PARK HWY,FAIL MAINTAIN LANE CONTROL,W,F,APD,594804,32031,2021
32111,2020/04/02,2150,100-BLK ASCENSION DR,MISDEMEANOR LARCENY,W,M,APD,569752,32092,2020
32112,2020/04/02,2150,100-BLK ASCENSION DR,POSSESS MARIJUANA UP TO 1/2 OZ,W,M,APD,569752,32093,2020
32120,2021/12/19,305,100-BLK N MARKET ST,NON-SUPPORT,B,M,APD,599818,32101,2021
32121,2021/12/19,305,100-BLK N MARKET ST,SIMPLE POSSESS SCH VI CS (M),B,M,APD,599818,32102,2021
32142,2021/01/06,2148,100-BLK BUSBEE RD,DWLR NOT IMPAIRED REV,B,F,APD,580496,32123,2021
32155,2020/04/14,1145,100-BLK COURT PLZ,FEL PROB VIOL OUT OF COUNTY,B,M,APD,569967,32136,2020
32175,2021/04/08,452,100-BLK ASHELAND AVE,SECOND DEGREE TRESPASS,W,M,APD,585860,32156,2021
32176,2020/05/24,311,100-BLK HAYWOOD ST,FELONY POSSESSION SCH II CS,W,M,APD,572876,32157,2020
32177,2020/05/24,311,100-BLK HAYWOOD ST,SECOND DEGREE TRESPASS,W,M,APD,572876,32158,2020
32178,2020/05/24,311,100-BLK HAYWOOD ST,POSSESS DRUG PARAPHERNALIA,W,M,APD,572876,32159,2020
32179,2020/01/24,650,300-BLK BILTMORE AVE,SECOND DEGREE TRESPASS,W,M,APD,567143,32160,2020
32202,2021/12/14,1810,100-BLK MEADOW RD,HABITUAL FELON,W,F,APD,599699,32183,2021
32203,2021/09/26,2038,100-BLK GOVERNORS VIEW RD,UTTERING FORGED INSTRUMENT,W,F,APD,596523,32184,2021
32204,2021/09/26,2038,100-BLK GOVERNORS VIEW RD,OBTAIN PROPERTY FALSE PRETENSE,W,F,APD,596523,32185,2021
32205,2021/09/26,2038,100-BLK GOVERNORS VIEW RD,FORGERY OF INSTRUMENT,W,F,APD,596523,32186,2021
32206,2021/09/26,2038,100-BLK GOVERNORS VIEW RD,FORGERY OF ENDORSEMENT,W,F,APD,596523,32187,2021
32207,2021/09/26,2038,100-BLK GOVERNORS VIEW RD,UTTERING FORGED INSTRUMENT,W,F,APD,596523,32188,2021
32237,2021/05/28,2345,800-BLK BREVARD RD,SIMPLE AFFRAY,B,M,APD,593179,32218,2021
32263,2020/03/23,1954,700-BLK FAIRVIEW RD,MISDEMEANOR LARCENY,W,M,APD,569597,32244,2020
32264,2020/03/23,1954,700-BLK FAIRVIEW RD,POSSESS METHAMPHETAMINE,W,M,APD,569597,32245,2020
32265,2020/03/23,1954,700-BLK FAIRVIEW RD,BREAK COIN/CURRENCY MACH (M),W,M,APD,569597,32246,2020
32266,2020/03/23,1954,700-BLK FAIRVIEW RD,RESISTING PUBLIC OFFICER,W,M,APD,569597,32247,2020
32267,2020/03/23,1954,700-BLK FAIRVIEW RD,INJURY TO PERSONAL PROPERTY,W,M,APD,569597,32248,2020
32273,2020/11/28,2131,900-BLK HAYWOOD RD,ASSAULT ON A FEMALE,W,M,APD,579664,32254,2020
32274,2021/04/21,1233,1400-BLK TUNNEL RD,INJURY TO REAL PROPERTY,W,M,APD,588215,32255,2021
32312,2020/04/28,2155,400-BLK HENDERSONVILLE RD,PWIMSD METHAMPHETAMINE,W,M,APD,572257,32293,2020
32313,2020/04/28,2155,400-BLK HENDERSONVILLE RD,SIMPLE POSSESS SCH IV CS (M),W,M,APD,572257,32294,2020
32314,2020/04/28,2155,400-BLK HENDERSONVILLE RD,POSSESS DRUG PARAPHERNALIA,W,M,APD,572257,32295,2020
32315,2020/02/24,1032,100-BLK COURT PLZ,DWLR NOT IMPAIRED REV,W,M,APD,568449,32296,2020
32324,2020/07/28,654,100-BLK FUTURE DR,SIMPLE ASSAULT,W,F,APD,574465,32305,2020
32325,2020/07/28,654,100-BLK FUTURE DR,INJURY TO PERSONAL PROPERTY,W,F,APD,574465,32306,2020
32334,2021/07/25,2150,100-BLK SMOKEY PARK HWY,SIMPLE POSSESS SCH II CS (M),W,F,APD,594804,32315,2021
32335,2021/07/25,2150,100-BLK SMOKEY PARK HWY,DWLR NOT IMPAIRED REV,W,F,APD,594804,32316,2021
32336,2020/10/15,300,100-BLK DAVIDSON DR,FEL PROB VIOL OUT OF COUNTY,W,M,APD,578590,32317,2020
32337,2020/10/15,300,100-BLK DAVIDSON DR,FEL PROB VIOL OUT OF COUNTY,W,M,APD,578590,32318,2020
32338,2020/10/15,300,100-BLK DAVIDSON DR,FEL PROB VIOL OUT OF COUNTY,W,M,APD,578590,32319,2020
32339,2020/10/15,300,100-BLK DAVIDSON DR,FEL PROB VIOL OUT OF COUNTY,W,M,APD,578590,32320,2020
32351,2021/11/23,1545,PATTON AVE/I26W,INTOXICATED AND DISRUPTIVE,W,M,APD,599121,32332,2021
32358,2021/08/28,2306,100-BLK WALNUT ST,ATTEMPT BREAK/ENTER MOTOR VEH,W,M,APD,595809,32339,2021
32359,2021/08/28,2306,100-BLK WALNUT ST,INJURY TO PERSONAL PROPERTY,W,M,APD,595809,32340,2021
32360,2021/04/02,707,100-BLK BILTMORE AVE,PRETRIAL RELEASE VIOLATION [15A-534(F)],W,M,APD,585708,32341,2021
32361,2021/03/20,1034,100-BLK COXE AVE,POSSESS METHAMPHETAMINE,W,M,APD,585363,32342,2021
32362,2021/03/20,1034,100-BLK COXE AVE,INTOXICATED AND DISRUPTIVE,W,M,APD,585363,32343,2021
32363,2021/03/20,1034,100-BLK COXE AVE,RESISTING PUBLIC OFFICER,W,M,APD,585363,32344,2021
32371,2021/10/28,300,100-BLK CROWELL RD,DWLR NOT IMPAIRED REV,W,F,APD,597424,32352,2021
32372,2021/10/28,300,100-BLK CROWELL RD,DWLR NOT IMPAIRED REV,W,F,APD,597424,32353,2021
32373,2021/10/28,300,100-BLK CROWELL RD,DWLR NOT IMPAIRED REV,W,F,APD,597424,32354,2021
32383,2020/08/26,1547,100-BLK BILTMORE AVE,DAMAGE PROPERTY - FREE TEXT,W,M,APD,576264,32364,2020
32384,2021/10/27,1601,100-BLK HIBERNIA ST,FLEE/ELUDE ARREST W/MV (F),B,M,APD,597413,32365,2021
32385,2021/10/27,1601,100-BLK HIBERNIA ST,POSSESS DRUG PARAPHERNALIA,B,M,APD,597413,32366,2021
32386,2021/10/27,1601,100-BLK HIBERNIA ST,RESISTING PUBLIC OFFICER,B,M,APD,597413,32367,2021
32406,2021/01/10,42,100-BLK GLIMMER DR,SIMPLE ASSAULT,W,M,APD,580560,32387,2021
